[1548613800] LOG ROTATION: DAILY
[1548613800] LOG VERSION: 2.0
[1548627869] SERVICE NOTIFICATION: nagiosadmin;esxi02;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 42  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157E1D Chassis S/N: FCH2216V0Y6  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548628328] SERVICE NOTIFICATION: nagiosadmin;esxi04;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22137QKB Chassis S/N: FCH2216V0YZ  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548628799] SERVICE NOTIFICATION: nagiosadmin;esxi05;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EPD Chassis S/N: FCH2216V0Z0  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548628815] SERVICE NOTIFICATION: nagiosadmin;esxi06;ESXi Haradware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548629553] SERVICE NOTIFICATION: nagiosadmin;esxi07;ESXi Hardware Check;OK;notify-service-by-email;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EV7 Chassis S/N: FCH2216V0Y8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548629553] SERVICE ALERT: esxi07;ESXi Hardware Check;OK;HARD;1;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EV7 Chassis S/N: FCH2216V0Y8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548629919] Auto-save of retention data completed successfully.
[1548630875] SERVICE NOTIFICATION: nagiosadmin;esxi03;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ESB Chassis S/N: FCH2216V0TW  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548631014] SERVICE NOTIFICATION: nagiosadmin;esxi01;ESXi Hardware Check;WARNING;notify-service-by-email;WARNING : Front Panel Board 1 FP_TEMP_SENSOR: 41  - Server:  Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157EQH Chassis S/N: FCH2216V0WN  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548631213] SERVICE NOTIFICATION: nagiosadmin;esxi06;ESXi Haradware Check;OK;notify-service-by-email;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
[1548631213] SERVICE ALERT: esxi06;ESXi Haradware Check;OK;HARD;1;OK - Server: Cisco Systems Inc UCSC-C220-M4S s/n: FCH22157ERW Chassis S/N: FCH2216V0X8  System BIOS: C220M4.3.0.4a.0.0226182253 2018-02-26
